path,forbidden_claim_count,forbidden_claims_absent,matched_claims
README.md,0,True,[]
docs/54_repository_evidence_integrity_repair.md,0,True,[]
docs/REPOSITORY_EVIDENCE_INDEX.md,0,True,[]
docs/REPOSITORY_EVIDENCE_INTEGRITY_ERRATA.md,0,True,[]
STEP54_REPOSITORY_EVIDENCE_INTEGRITY_REPAIR_REPORT.md,0,True,[]
configs/step54_evidence_classification_policy.json,0,True,[]
configs/step54_lbm_relaxation_semantics_policy.json,0,True,[]
configs/step54_repository_evidence_integrity_repair.json,0,True,[]
baseline_tests/run_step54_artifact_manifest.py,0,True,[]
baseline_tests/run_step54_claim_guard.py,0,True,[]
baseline_tests/run_step54_lbm_relaxation_semantics_audit.py,0,True,[]
baseline_tests/run_step54_proxy_diagnostic_truthfulness_audit.py,0,True,[]
baseline_tests/run_step54_repository_evidence_index.py,0,True,[]
baseline_tests/run_step54_state_guard_truthfulness_audit.py,0,True,[]
baseline_tests/run_step54_step53_regression_guard.py,0,True,[]
baseline_tests/run_step54_test_strength_audit.py,0,True,[]
baseline_tests/step54_common.py,0,True,[]
tests/test_step54_lbm_relaxation_semantics_contract.py,0,True,[]
tests/test_step54_repository_evidence_integrity_repair_contract.py,0,True,[]
src/lbm_relaxation_semantics.py,0,True,[]
src/proxy_diagnostic_truthfulness.py,0,True,[]
src/state_guard_truthfulness.py,0,True,[]
src/repository_evidence_index.py,0,True,[]
src/repository_test_strength_audit.py,0,True,[]
outputs/step54_lbm_relaxation_semantics_audit/lbm_relaxation_semantics.csv,0,True,[]
outputs/step54_lbm_relaxation_semantics_audit/lbm_relaxation_semantics.json,0,True,[]
outputs/step54_lbm_relaxation_semantics_audit/lbm_relaxation_semantics_summary.csv,0,True,[]
outputs/step54_proxy_diagnostic_truthfulness_audit/proxy_diagnostic_truthfulness.csv,0,True,[]
outputs/step54_proxy_diagnostic_truthfulness_audit/proxy_diagnostic_truthfulness.json,0,True,[]
outputs/step54_proxy_diagnostic_truthfulness_audit/proxy_diagnostic_truthfulness_summary.csv,0,True,[]
outputs/step54_repository_evidence_index/repository_evidence_index.csv,0,True,[]
outputs/step54_repository_evidence_index/repository_evidence_index.json,0,True,[]
outputs/step54_repository_evidence_index/repository_evidence_index_summary.csv,0,True,[]
outputs/step54_state_guard_truthfulness_audit/state_guard_truthfulness.csv,0,True,[]
outputs/step54_state_guard_truthfulness_audit/state_guard_truthfulness.json,0,True,[]
outputs/step54_state_guard_truthfulness_audit/state_guard_truthfulness_summary.csv,0,True,[]
outputs/step54_step53_regression_guard/step53_regression_guard.csv,0,True,[]
outputs/step54_step53_regression_guard/step53_regression_guard.json,0,True,[]
outputs/step54_step53_regression_guard/step53_regression_guard_summary.csv,0,True,[]
outputs/step54_test_strength_audit/test_strength_audit.csv,0,True,[]
outputs/step54_test_strength_audit/test_strength_audit.json,0,True,[]
outputs/step54_test_strength_audit/test_strength_audit_summary.csv,0,True,[]
outputs/step54_required_false_flags/outputs/step54_lbm_relaxation_semantics_audit/lbm_relaxation_semantics.json::standard_viscosity_validation_claim,0,True,[]
outputs/step54_required_false_flags/outputs/step54_lbm_relaxation_semantics_audit/lbm_relaxation_semantics.json::physical_viscosity_validation_claim,0,True,[]
outputs/step54_required_false_flags/outputs/step54_proxy_diagnostic_truthfulness_audit/proxy_diagnostic_truthfulness.json::real_jet_validation_claim,0,True,[]
outputs/step54_required_false_flags/outputs/step54_proxy_diagnostic_truthfulness_audit/proxy_diagnostic_truthfulness.json::full_solver_validation_claim,0,True,[]
outputs/step54_required_false_flags/outputs/step54_state_guard_truthfulness_audit/state_guard_truthfulness.json::full_solver_validation_claim,0,True,[]
