path,kind,extension,size_bytes,size_mb,is_large
STEP10_FSI_DRIVER_GOAL.md,STEP10_FSI_DRIVER_GOAL.md,.md,30681,0.029259681701660156,False
STEP10_FSI_DRIVER_REPORT.md,reports,.md,8019,0.007647514343261719,False
STEP11_WRITING_MODULE_GOAL.md,STEP11_WRITING_MODULE_GOAL.md,.md,25958,0.024755477905273438,False
STEP11_WRITING_MODULE_REPORT.md,reports,.md,4045,0.0038576126098632812,False
STEP12_PERFORMANCE_MEMORY_GOAL.md,STEP12_PERFORMANCE_MEMORY_GOAL.md,.md,26485,0.02525806427001953,False
STEP12_PERFORMANCE_MEMORY_REPORT.md,reports,.md,6226,0.0059375762939453125,False
STEP13_GEOMETRY_INGESTION_GOAL.md,STEP13_GEOMETRY_INGESTION_GOAL.md,.md,39201,0.037384986877441406,False
STEP13_GEOMETRY_INGESTION_REPORT.md,reports,.md,10528,0.010040283203125,False
STEP14_LARGER_GRID_VALIDATION_GOAL.md,STEP14_LARGER_GRID_VALIDATION_GOAL.md,.md,36798,0.03509330749511719,False
STEP14_LARGER_GRID_VALIDATION_REPORT.md,reports,.md,10471,0.009985923767089844,False
STEP15_MOVING_BOUNDARY_CALIBRATION_GOAL.md,STEP15_MOVING_BOUNDARY_CALIBRATION_GOAL.md,.md,41124,0.039218902587890625,False
STEP15_MOVING_BOUNDARY_CALIBRATION_REPORT.md,reports,.md,10701,0.010205268859863281,False
STEP16_LONG_RUN_VALIDATION_GOAL.md,STEP16_LONG_RUN_VALIDATION_GOAL.md,.md,33746,0.03218269348144531,False
STEP16_LONG_RUN_VALIDATION_REPORT.md,reports,.md,7154,0.0068225860595703125,False
STEP17_LINK_AREA_ACCOUNTING_GOAL.md,STEP17_LINK_AREA_ACCOUNTING_GOAL.md,.md,20149,0.01921558380126953,False
STEP17_LINK_AREA_ACCOUNTING_REPORT.md,reports,.md,7651,0.007296562194824219,False
STEP18_LINK_AREA_TRANSFER_GOAL.md,STEP18_LINK_AREA_TRANSFER_GOAL.md,.md,33078,0.03154563903808594,False
STEP18_LINK_AREA_TRANSFER_REPORT.md,reports,.md,9735,0.009284019470214844,False
STEP19_LINK_AREA_LONG_RUN_GOAL.md,STEP19_LINK_AREA_LONG_RUN_GOAL.md,.md,34366,0.03277397155761719,False
STEP19_LINK_AREA_LONG_RUN_REPORT.md,reports,.md,12974,0.012372970581054688,False
STEP1_BASELINE_REPORT.md,reports,.md,5859,0.005587577819824219,False
STEP1_ENVIRONMENT_AND_BASELINE_GOAL.md,STEP1_ENVIRONMENT_AND_BASELINE_GOAL.md,.md,10982,0.010473251342773438,False
STEP20_GEOMETRY_IMPORT_GOAL.md,STEP20_GEOMETRY_IMPORT_GOAL.md,.md,29565,0.02819538116455078,False
STEP20_GEOMETRY_IMPORT_REPORT.md,reports,.md,10619,0.010127067565917969,False
STEP21_IMPORTED_GEOMETRY_SCALE_GOAL.md,STEP21_IMPORTED_GEOMETRY_SCALE_GOAL.md,.md,31228,0.029781341552734375,False
STEP21_IMPORTED_GEOMETRY_SCALE_REPORT.md,reports,.md,11050,0.010538101196289062,False
STEP22_GEOMETRY_QUALITY_GOAL.md,STEP22_GEOMETRY_QUALITY_GOAL.md,.md,24956,0.023799896240234375,False
STEP22_GEOMETRY_QUALITY_REPORT.md,reports,.md,10463,0.009978294372558594,False
STEP23_QUALITY_GATED_GEOMETRY_SCALE_GOAL.md,STEP23_QUALITY_GATED_GEOMETRY_SCALE_GOAL.md,.md,25100,0.023937225341796875,False
STEP23_QUALITY_GATED_GEOMETRY_SCALE_REPORT.md,reports,.md,12724,0.012134552001953125,False
STEP24_STRICT_QUALITY_GATED_IMPORTED_GEOMETRY_LONG_RUN_GOAL.md,STEP24_STRICT_QUALITY_GATED_IMPORTED_GEOMETRY_LONG_RUN_GOAL.md,.md,31842,0.030366897583007812,False
STEP24_STRICT_QUALITY_GATED_IMPORTED_GEOMETRY_LONG_RUN_REPORT.md,reports,.md,15750,0.015020370483398438,False
STEP25_CONTROLLED_REAL_GEOMETRY_INTAKE_GOAL.md,STEP25_CONTROLLED_REAL_GEOMETRY_INTAKE_GOAL.md,.md,28638,0.027311325073242188,False
STEP25_CONTROLLED_REAL_GEOMETRY_INTAKE_REPORT.md,reports,.md,15455,0.014739036560058594,False
STEP26_CONTROLLED_REAL_GEOMETRY_SHORT_FEASIBILITY_GOAL.md,STEP26_CONTROLLED_REAL_GEOMETRY_SHORT_FEASIBILITY_GOAL.md,.md,27806,0.026517868041992188,False
STEP26_CONTROLLED_REAL_GEOMETRY_SHORT_FEASIBILITY_REPORT.md,reports,.md,18999,0.018118858337402344,False
STEP27_CONTROLLED_REAL_GEOMETRY_64_SHORT_DRIVER_GOAL.md,STEP27_CONTROLLED_REAL_GEOMETRY_64_SHORT_DRIVER_GOAL.md,.md,25500,0.024318695068359375,False
STEP27_CONTROLLED_REAL_GEOMETRY_64_SHORT_DRIVER_REPORT.md,reports,.md,15985,0.015244483947753906,False
STEP28_CONTROLLED_REAL_GEOMETRY_64_TRANSFER_DIAGNOSTICS_GOAL.md,STEP28_CONTROLLED_REAL_GEOMETRY_64_TRANSFER_DIAGNOSTICS_GOAL.md,.md,30452,0.029041290283203125,False
STEP28_CONTROLLED_REAL_GEOMETRY_64_TRANSFER_DIAGNOSTICS_REPORT.md,reports,.md,18269,0.01742267608642578,False
STEP29_CONTROLLED_REAL_GEOMETRY_64_STABILITY_ENVELOPE_GOAL.md,STEP29_CONTROLLED_REAL_GEOMETRY_64_STABILITY_ENVELOPE_GOAL.md,.md,30834,0.029405593872070312,False
STEP29_CONTROLLED_REAL_GEOMETRY_64_STABILITY_ENVELOPE_REPORT.md,reports,.md,20225,0.019288063049316406,False
STEP2_LBM_FLUID_REFACTOR_GOAL.md,STEP2_LBM_FLUID_REFACTOR_GOAL.md,.md,18912,0.018035888671875,False
STEP2_LBM_REFACTOR_REPORT.md,reports,.md,6160,0.0058746337890625,False
STEP30_CONTROLLED_SQUID_PROXY_REGION_GEOMETRY_GOAL.md,STEP30_CONTROLLED_SQUID_PROXY_REGION_GEOMETRY_GOAL.md,.md,22276,0.021244049072265625,False
STEP30_CONTROLLED_SQUID_PROXY_REGION_GEOMETRY_REPORT.md,reports,.md,12218,0.011651992797851562,False
STEP3_MPM_SOLID_GOAL.md,STEP3_MPM_SOLID_GOAL.md,.md,17387,0.01658153533935547,False
